JobID	User	Group	State	ExitCode	NNodes	AllocCPUS	CPU_Utilized	CPU_Efficiency	core_walltime	Elapsed	Elapsed_raw	MaxRSS_Utilized	REQMEM	memory_efficiency
6114624	dcking@colostate.edu	dckingpgrp@colostate.edu	FAILED	1:0	1	1	00:02:44	7.0787553648068675	00:38:50	00:38:50	2330.0	3.25 GB	4026531840	86.62943522135417
6131952	dcking@colostate.edu	dckingpgrp@colostate.edu	COMPLETED	0:0	1	1	00:00:02	0.08481197517342096	00:45:39	00:45:39	2739.0	12.89 MB	4026531840	0.335693359375
6144082	dcking@colostate.edu	dckingpgrp@colostate.edu	COMPLETED	0:0	1	1	00:00:00	0.58	00:02:00	00:02:00	120.0	4.12 MB	4026531840	0.10742187500000001
6144084	dcking@colostate.edu	dckingpgrp@colostate.edu	CANCELLED by 2000886	0:0	1	0	00:00:00	0	00:00:00	00:00:00	0.0	0.00 B	32212254720	0.0
6144229	dcking@colostate.edu	dckingpgrp@colostate.edu	OUT_OF_MEMORY	0:125	1	4	01:07:21	24.658292653160853	04:33:08	01:08:17	4097.0	14.62 GB	16106127360	97.46788024902344
6154811	dcking@colostate.edu	dckingpgrp@colostate.edu	COMPLETED	0:0	1	1	00:00:00	5.699999999999999	00:00:05	00:00:05	5.0	0.00 B	4026531840	0.0
6240722	dcking@colostate.edu	dckingpgrp@colostate.edu	TIMEOUT	0:0	1	12	01:59:17	8.267490296645413	1-00:02:48	02:00:14	7214.0	16.05 GB	48318382080	35.661417643229164
7548679	dcking@colostate.edu	dckingpgrp@colostate.edu	COMPLETED	0:0	1	1	00:00:00	0.0890227576974565	00:12:27	00:12:27	747.0	2.71 MB	4026531840	0.07049560546875
7548859	dcking@colostate.edu	dckingpgrp@colostate.edu	COMPLETED	0:0	1	1	00:00:00	0.10219512195121949	00:06:50	00:06:50	410.0	2.71 MB	4026531840	0.07049560546875
7549039	dcking@colostate.edu	dckingpgrp@colostate.edu	COMPLETED	0:0	1	1	00:00:01	0.2585454545454545	00:09:10	00:09:10	550.0	2.77 MB	4026531840	0.072021484375
7613891	dcking@colostate.edu	dckingpgrp@colostate.edu	COMPLETED	0:0	1	1	00:00:00	0.2331967213114754	00:04:04	00:04:04	244.0	2.58 MB	4026531840	0.067138671875
8082822	dcking@colostate.edu	dckingpgrp@colostate.edu	COMPLETED	0:0	1	1	00:00:00	4.585714285714286	00:00:07	00:00:07	7.0	0.00 B	4026531840	0.0
8082824	dcking@colostate.edu	dckingpgrp@colostate.edu	FAILED	1:0	1	1	00:00:00	1.0593750000000002	00:00:32	00:00:32	32.0	2.66 MB	4026531840	0.06927490234375
8087536	dcking@colostate.edu	dckingpgrp@colostate.edu	CANCELLED by 2000886	0:0	1	1	00:00:00	0	00:00:01	00:00:01	1.0	0.00 B	4026531840	0.0
8087537	dcking@colostate.edu	dckingpgrp@colostate.edu	CANCELLED by 2000886	0:0	1	1	00:00:00	0.022222222222222223	00:00:09	00:00:09	9.0	1.42 MB	4026531840	0.03692626953125
8087539	dcking@colostate.edu	dckingpgrp@colostate.edu	COMPLETED	0:0	1	1	00:00:00	0.8631578947368421	00:00:38	00:00:38	38.0	2.58 MB	4026531840	0.067138671875
8087545	dcking@colostate.edu	dckingpgrp@colostate.edu	COMPLETED	0:0	1	1	00:00:00	4.82	00:00:05	00:00:05	5.0	0.00 B	4026531840	0.0
8087574	dcking@colostate.edu	dckingpgrp@colostate.edu	COMPLETED	0:0	1	1	00:00:00	0	00:00:02	00:00:02	2.0	0.00 B	4026531840	0.0
8087575	dcking@colostate.edu	dckingpgrp@colostate.edu	FAILED	2:0	1	1	00:00:00	0	00:00:26	00:00:26	26.0	0.00 B	4026531840	0.0
8087579	dcking@colostate.edu	dckingpgrp@colostate.edu	CANCELLED by 2000886	0:0	1	1	00:00:00	0.1	00:00:02	00:00:02	2.0	528.00 KB	4026531840	0.013427734375000002
8166676	dcking@colostate.edu	dckingpgrp@colostate.edu	FAILED	2:0	1	12	00:00:02	0.9368055555555554	00:04:48	00:00:24	24.0	65.36 MB	48318382080	0.1418304443359375
